start	end	text
0	5820	I want you to imagine that for just a second that you're standing in this massive basketball stadium.
6420	12700	The game just ended, right? The final buzzer has sounded. The crowds are, you know, pouring out of
12700	18380	the aisles. The smell of stale popcorn and spilled beer is just kind of hanging in the air. A very
18380	24780	specific vibe. Yeah, exactly. And you look up at that giant glowing scoreboard suspended over
24780	32380	center court. And the numbers read, let's say, home team 104, away team 98. So it's a definitive
32380	37940	result. Yeah. A completely binary, honest outcome to the evening. Exactly. It is perfectly accurate.
38040	42360	I mean, it tells you without a shadow of doubt exactly who won the game. It is a completely
42360	47080	honest record of the final state of affairs. Yeah. But I want you to really think about what that
47080	52100	glowing scoreboard actually tells you about the game itself. Very little, honestly, when you really
52100	56000	get down to it. Right. I mean, it tells you absolutely nothing about the actual plays.
56160	61480	It doesn't tell you about the momentum shifts in the second quarter. It doesn't tell you about like
61480	68100	the star point guard twisting his ankle or the crowd going absolutely wild over a buzzer beater
68100	72200	three pointer right before halftime. You're completely blind to the sequence. Totally blind.
72300	77460	It doesn't tell you how the game unfolded. So the scoreboard is an honest shadow, but it is just
77460	82980	a shadow of a massively complex process. And what's truly fascinating here, and really the
82980	87280	reason we're starting with this image of the scoreboard today, is that this exact
87280	93360	distinction. Right. The difference between the honest final record and the complex invisible
93360	100620	process that produced it is the absolute key to unlocking what is arguably the most notoriously
100620	105380	confusing subject in all of modern science. And that subject is quantum mechanics. Yeah.
105380	110380	Today, we're going on a deep dive into two incredibly groundbreaking texts published just this year
110380	117380	in 2026 by the independent researcher Flixionit. We're looking at a highly technical, dense mathematical
117380	123660	monograph called Quantum Mechanics from Admissible Probabilistic Composition, as well as its popular,
123920	128600	you know, slightly more accessible companion book called What Probability Forgets.
128940	134440	And we really need to be clear up front here. The mission of these two texts is profoundly ambitious.
134440	139900	I mean, Flixionit is essentially asking us to reconsider the entire foundational architecture
139900	145340	of quantum theory from the ground up. Which sounds daunting, right? But that is exactly what we are
145340	150800	going to do today. So for you listening right now, here is our mission. I want you to ask yourself,
151040	157740	what if quantum mechanics isn't actually about spooky, inexplicable waves and particles? Right.
157740	163280	What if it's not about Schrodinger's cat being magically alive and dead at the exact same time
163280	167240	in some mystical, incomprehensible way? Because those are the tropes we've all been taught to
167240	171980	accept. Right. The whole quantum weirdness that we're just supposed to swallow. Right. But what if
171980	177420	instead quantum mechanics is simply a logical story about what happens when probability forgets the
177420	183700	hidden relational information needed to connect one event to the next? Yeah. Today, we are going to
183700	190060	reconstruct the absolute weirdest parts of quantum mechanics, the interference, the entanglement,
190060	195200	the whole nine yards, just by looking at how probabilities string together. And to set the
195200	201400	stage for this, we have to fundamentally rethink what a probability actually is when we talk about
201400	206200	physics. Right. We're so used to thinking of probability as the engine of chance, right? Like it's
206200	212380	doing the work. Yeah. But in Flyxion's framework, a probability table is a witness, not a mechanism.
212380	216640	Okay. Stop right there because I want to make sure I'm wrapping my head around that. A witness versus
216640	221680	a mechanism. Yeah. So think of it this way. A probability distribution summarizes a visible
221680	228240	consequence. Right. It says out of a million coin flips, here's exactly how many were heads and how
228240	234780	many were tails. That is the witness. It testifies to the final outcome. Like the scoreboard. Exactly like
234780	239900	the scoreboard. But, and this is the core of the entire theory we're discussing today, a witness does
239900	245040	not guarantee that you can counterfactually string two consequences together. Counterfactually
245040	249920	string them together. Meaning, um, if I take the result of experiment A and I try to feed it
249920	255660	directly into experiment B. Precisely. The probability table doesn't give you the underlying machinery,
255660	261460	right? The gears and levers that connect step A to step B to step C. Yeah. If you try to predict
261460	266500	how the team will play in their next game using only the final score of the last game,
266500	271920	you are going to fail miserably. You need to know the plays. You need to know the mechanics.
271920	277860	So, to understand what probability forgets, we first have to understand what probability actually
277860	282860	is in this specific mathematical framework. Right. And this takes us into the geometric space
282860	288480	where all uncertainty lives. In the texts, this is referred to as the probability simplex.
288560	293160	The probability simplex is really where this entire reconstruction begins. It's the mathematical
293160	299440	starting line. I want you to imagine a geometric space that contains all the legal, valid assignments
299440	304860	of weights to mutually exclusive alternatives. Okay, I need a visual for that. Let's say we have
304860	311080	an experiment with three possible outcomes. Maybe it's a detector that can click and flash a red light,
311080	315800	a blue light, or a green light. Perfect. So, if you have three mutually exclusive outcomes,
315800	322080	red, blue, or green, you can visualize this probability simplex as a flat triangle sitting
322080	328080	on a table. Okay, a triangle. Right. And the three corners of the triangle represent states of total,
328080	335860	absolute certainty. One corner is 100% red. Another corner is 100% blue. The third is 100% green.
336080	341640	So, if I know for a fact the light will be blue, my state is a tiny dot sitting exactly on that blue
341640	347720	corner. Yes. But in the real world, we rarely have total certainty. Right? Yeah, true. Any point
347720	353180	inside the area of that triangle represents a state of partial knowledge. It's a mixture of those
353180	360580	probabilities. Right. So, maybe you're 50% sure it's red, 25% blue, 25% green. That state is a specific
360580	366420	dot floating somewhere in the middle of the triangle. Got it. And the key rule of this space is that no
366420	372740	matter where the dot is, the probabilities always have to add up to exactly 100%, or mathematically,
373280	378020	a value of one. And it strikes me that at this point, absolutely nothing has been said about what
378020	382120	those alternatives actually are in the physical world. No, nothing at all. Like, it could be a
382120	386940	highly advanced quantum photon detector, or it could just be a guy rolling a loaded die in a casino.
387200	392920	It's completely agnostic. It's just the mathematical space of chance. It is entirely agnostic. But the
392920	399300	universe doesn't just sit still. You know, things happen. Systems evolve. We have to move that dot
399300	405860	through this geometric space. And to do that, the math uses a tool called a stochastic matrix.
406420	411300	Right. Okay. And a matrix is just a grid of numbers. So, what makes it a stochastic matrix?
411820	416620	Stochastic matrix is just a rigorous mathematical rule for moving your point around inside that
416620	422080	simplex without breaking the rules. It's a table of transition probabilities. Okay. The defining feature
422080	428480	is that all the columns in this grid of numbers sum up to exactly one. Because probability can't be
428480	433500	created out of thin air, and it can't, like, leak out of the universe. Exactly. It ensures that if you
433500	438940	start with a valid set of probabilities, meaning your initial state adds up to 100%. Right. After you
438940	444300	apply the matrix, you're guaranteed to end up with a new, valid set of probabilities that still adds up
444300	450780	to 100%. The dot moves, but it stays inside the triangle. But Flyxion's text doesn't just look at
450780	457520	any random stochastic matrices. It zeroes in on a much narrower, much more orderly class of these
457520	462360	transitions, which are called busstochastic matrices. Sometimes I think they're called
462360	469100	doubly stochastic matrices. Yes, bisochastic or doubly stochastic. And the difference is profound.
469900	476000	In a standard stochastic matrix, the columns sum to one. But in a bisochastic matrix, the columns sum to
476000	480620	one, and the rows sum to one as well. Okay. I can visualize a spreadsheet where the rows and
480620	485280	columns both add up to one. But what does that actually mean physically? Like, why does adding
485280	492280	that row constraint matter? It matters because that additional constraint imposes a very specific
492280	498620	physical reality on the system. It means that the transformation preserves the uniform distribution.
498620	504400	The uniform distribution, meaning the dead center of the triangle. Yes. The point where I am equally
504400	514480	ignorant about everything. 33.3% red, 33.3% blue, 33.3% green. Right. If you start out completely,
515040	521460	totally ignorant, meaning every outcome is equally likely, and you apply a bistochastic matrix to your
521460	526820	system, it will leave you completely, totally ignorant. The dot stays in the dead center. It mixes
526820	532000	things up, certainly, but it cannot magically create a preference or a certainty out of pure,
532000	536840	uniform ignorance. It's like shuffling a deck of cards. If I don't know the order of the cards,
537100	541560	shuffling them again doesn't suddenly make me know that the ace of spades is on top. Exactly. It just
541560	547500	preserves my total lack of knowledge. That is exactly the right intuition. And this brings us to one of
547500	552640	the most beautiful pieces of classical mathematics mentioned in the text, which is the Burkhoff von Neumann
552640	557740	theorem. I remember this section. The name sounds intimidating, but the concept is actually
557740	564580	incredibly cool. What does the theorem prove? The Burkhoff von Neumann theorem proves that every
564580	571200	single bistochastic matrix, no matter how complex, no matter how many millions of rows and columns it
571200	577160	has, can be mathematically broken down. Okay. It can be written as a convex mixture,
577820	583200	essentially a weighted lottery of pure permutation matrices. Okay. Let's make sure we define permutation
583200	588600	matrix. A permutation is just a direct deterministic swap, right? Yes. Like a shell game on a street
588600	594540	corner. The red ball goes from the middle cup to the left cup. The blue ball goes to the right cup.
594640	600960	It's 100% certain, just rearranged. That's all it is. A strict rerouting of certainties. So what
600960	606100	Burkhoff and von Neumann proved is that any process in the universe that preserves uniform ignorance
606100	612040	can be perfectly flawlessly simulated by someone simply reaching into a hat and randomly picking out a
612040	617440	deterministic shuffling rule. Which means there is absolutely no quantum magic required for a
617440	623140	bistochastic matrix. None. It is a completely classical concept. It's just a lottery of shell
623140	629300	games. It's entirely classical. And this ties deeply into a concept called majorization, which
629300	634360	Flyxion spends quite a bit of time on. Majorization? This sounds like an entropy thing. It is the
634360	640280	mathematical backbone of entropy. Basically, if you have a sharp distribution, let's say your dot is very
640280	645760	close to a corner of the triangle, meaning you are 90% sure the system is going to flash red.
646560	653920	A bistochastic matrix can mix that state into a flatter, more uncertain distribution. It can push
653920	659600	the dot closer to the center. It blurs the picture. Exactly. But what it cannot do is unmix it.
659680	664720	Right. It cannot take a flat, uncertain distribution sitting near the center of the triangle and push it
664720	669800	out toward a sharp corner. It can't take a blurred picture and magically sharpen the focus.
670160	671060	So it only goes one way.
671240	677360	Yes. Which means entropy, our fundamental measure of uncertainty, can never decrease under these doubly
677360	678640	stochastic transformations.
678980	684020	So if we connect this to the bigger picture, classical probability, when it is governed by these
684020	691100	bistochastic matrices, has a built-in one-way arrow of information loss. You can blur things, but you can
691100	695300	never unblur them. That is the tragedy of classical probability, in a sense.
695420	699460	Okay. Here is where I want to test this, because I feel like I need to push back a little on this
699460	701920	idea that probability isn't enough. Okay.
702120	706880	Let's say I'm a physicist in a lab. I have a machine. I know the machine applies a specific
706880	711120	bistochastic matrix, right? It's just a lottery of shuffling things around.
711240	711360	Right.
711840	717240	I run my experiment a thousand times, and my probability matrix predicts the final frequencies
717240	722160	use of the flashing lights perfectly. The matrix gets the scoreboard exactly right.
722240	722680	It does.
722920	729020	So why isn't that enough? Why does Flyxion say this is an incomplete description of the
729020	731640	system? I mean, I have the exact odds.
732140	735080	Because of what happens when you try to do two things in a row?
